coverage_wave,ticker,company,exchange,country,region,segment_id,segment,why_core,first_research_question,first_model_driver,leading_indicators,recommended_output,source_pack_start
Wave 1 - AI infrastructure spine,1347.HK / 688347.SS,Hua Hong Semiconductor,HKEX / SSE STAR,China,Asia,foundry_idm,Foundry / IDM Manufacturing,China specialty foundry proxy.,"Utilization, pricing, Wuxi capacity, local demand","Utilization, wafer ASP, node mix, depreciation, capex, customer concentration, geographic capacity, subsidies, advanced packaging attach.","Foundry monthly revenue, smartphone/PC sell-through, cloud ASIC tape-outs, WFE orders, fab utilization, node migration schedules.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,6723.T,Renesas Electronics,TSE,Japan,Asia,analog_power,Analog / Power / Mixed Signal,Core auto/industrial semiconductor name.,"Auto inventory, MCU pricing, margin and M&A integration","Industrial/auto inventory, channel sell-through, book-to-bill, utilization, pricing, SiC capacity, AI server power content.","Distributor inventory days, auto production schedules, industrial PMI, EV inverter demand, data-center power density, lead times.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,6758.T,Sony Group,TSE,Japan,Asia,mobile_rf_connectivity,Mobile / RF / Connectivity,Top global image sensor supplier; semis embedded in conglomerate.,"Premium smartphone CIS, auto sensors, capex returns","Handset units, premium mix, content per device, Android channel inventory, Apple content share, auto/IoT diversification, RF module integration.","Smartphone sell-through, Taiwan fabless monthly revenue, China Android launch calendar, Apple build plans, distributor inventory, panel shipments.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,6526.T,Socionext,TSE,Japan,Asia,fabless_compute,Compute / AI / Logic Chips,Japan custom silicon proxy.,"AI/custom ASIC wins, customer concentration","Datacenter revenue, accelerator ASP, HBM/CoWoS allocation, software/networking attach, cloud capex, product cadence, gross margin by platform.","Hyperscaler capex revisions, AI server lead times, HBM supply contracts, TSMC advanced-node mix, ODM backlog, accelerator benchmark adoption.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,IFX.DE,Infineon Technologies,Xetra,Germany,Europe,analog_power,Analog / Power / Mixed Signal,European power and auto semiconductor anchor.,"Auto inventory, SiC returns, industrial cycle","Industrial/auto inventory, channel sell-through, book-to-bill, utilization, pricing, SiC capacity, AI server power content.","Distributor inventory days, auto production schedules, industrial PMI, EV inverter demand, data-center power density, lead times.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,STM,STMicroelectronics,NYSE / Euronext,Switzerland/France/Italy,Europe,analog_power,Analog / Power / Mixed Signal,Core European broad-based semi.,"MCU/auto inventory, SiC, gross margin normalization","Industrial/auto inventory, channel sell-through, book-to-bill, utilization, pricing, SiC capacity, AI server power content.","Distributor inventory days, auto production schedules, industrial PMI, EV inverter demand, data-center power density, lead times.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,TXN,Texas Instruments,NASDAQ,United States,North America,analog_power,Analog / Power / Mixed Signal,Best broad-based analog cycle indicator.,"Industrial recovery, fab underload, China competition, capex returns","Industrial/auto inventory, channel sell-through, book-to-bill, utilization, pricing, SiC capacity, AI server power content.","Distributor inventory days, auto production schedules, industrial PMI, EV inverter demand, data-center power density, lead times.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,ADI,Analog Devices,NASDAQ,United States,North America,analog_power,Analog / Power / Mixed Signal,Core high-performance analog leader.,"Inventory correction, industrial recovery, margin resilience","Industrial/auto inventory, channel sell-through, book-to-bill, utilization, pricing, SiC capacity, AI server power content.","Distributor inventory days, auto production schedules, industrial PMI, EV inverter demand, data-center power density, lead times.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,ASML,ASML Holding,NASDAQ / Euronext,Netherlands,Europe,wfe,Semicap Equipment,Bottleneck supplier for advanced logic and memory.,"High-NA adoption, China restrictions, leading-edge capex timing","WFE TAM, orders, backlog, China mix, service revenue, installed base, node transition intensity, memory vs logic capex.","TSMC/Samsung/Intel/Micron/SK capex, SEMI/WFE forecasts, equipment lead times, export-control updates, service growth.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,AMAT,Applied Materials,NASDAQ,United States,North America,wfe,Semicap Equipment,Core WFE bellwether.,"AI WFE cycle, China mix, service durability, share gains","WFE TAM, orders, backlog, China mix, service revenue, installed base, node transition intensity, memory vs logic capex.","TSMC/Samsung/Intel/Micron/SK capex, SEMI/WFE forecasts, equipment lead times, export-control updates, service growth.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,LRCX,Lam Research,NASDAQ,United States,North America,wfe,Semicap Equipment,Key etch/deposition cycle read-through.,"Memory WFE recovery, GAA/backside power, China restrictions","WFE TAM, orders, backlog, China mix, service revenue, installed base, node transition intensity, memory vs logic capex.","TSMC/Samsung/Intel/Micron/SK capex, SEMI/WFE forecasts, equipment lead times, export-control updates, service growth.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,KLAC,KLA,NASDAQ,United States,North America,process_control_test,Process Control / Test / Metrology,Quality/yield bottleneck supplier.,"Advanced-node intensity, service, China exposure","Test time, probe card ASP, advanced-node process-control intensity, HBM/AI complexity, new tester platforms, consumables refresh.","AI/HBM product ramps, KLA/Advantest/Teradyne orders, OSAT capex, yield bottlenecks, new package qualification.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,8035.T,Tokyo Electron,TSE,Japan,Asia,wfe,Semicap Equipment,Japan WFE anchor.,"Memory/foundry capex, China mix, EUV track demand","WFE TAM, orders, backlog, China mix, service revenue, installed base, node transition intensity, memory vs logic capex.","TSMC/Samsung/Intel/Micron/SK capex, SEMI/WFE forecasts, equipment lead times, export-control updates, service growth.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,7735.T,SCREEN Holdings,TSE,Japan,Asia,wfe,Semicap Equipment,Important WFE supplier for wet processes.,"Advanced-node cleaning intensity, China demand","WFE TAM, orders, backlog, China mix, service revenue, installed base, node transition intensity, memory vs logic capex.","TSMC/Samsung/Intel/Micron/SK capex, SEMI/WFE forecasts, equipment lead times, export-control updates, service growth.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,6146.T,DISCO,TSE,Japan,Asia,wfe,Semicap Equipment,High-quality precision processing proxy.,"Advanced packaging, HBM thinning, capex timing","WFE TAM, orders, backlog, China mix, service revenue, installed base, node transition intensity, memory vs logic capex.","TSMC/Samsung/Intel/Micron/SK capex, SEMI/WFE forecasts, equipment lead times, export-control updates, service growth.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,6920.T,Lasertec,TSE,Japan,Asia,process_control_test,Process Control / Test / Metrology,Highly specialized advanced-node inspection name.,"EUV mask demand, order lumpiness, competition","Test time, probe card ASP, advanced-node process-control intensity, HBM/AI complexity, new tester platforms, consumables refresh.","AI/HBM product ramps, KLA/Advantest/Teradyne orders, OSAT capex, yield bottlenecks, new package qualification.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,6857.T,Advantest,TSE,Japan,Asia,process_control_test,Process Control / Test / Metrology,Best test-equipment proxy for AI and HBM complexity.,"AI/HBM test time, platform adoption, order cycle","Test time, probe card ASP, advanced-node process-control intensity, HBM/AI complexity, new tester platforms, consumables refresh.","AI/HBM product ramps, KLA/Advantest/Teradyne orders, OSAT capex, yield bottlenecks, new package qualification.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,TER,Teradyne,NASDAQ,United States,North America,process_control_test,Process Control / Test / Metrology,US ATE leader.,"AI test demand, mobility/industrial cycle, robotics turnaround","Test time, probe card ASP, advanced-node process-control intensity, HBM/AI complexity, new tester platforms, consumables refresh.","AI/HBM product ramps, KLA/Advantest/Teradyne orders, OSAT capex, yield bottlenecks, new package qualification.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,ASMI.AS,ASM International,Euronext Amsterdam,Netherlands,Europe,wfe,Semicap Equipment,Pure-play deposition leader.,"GAA/backside power intensity, China mix, order timing","WFE TAM, orders, backlog, China mix, service revenue, installed base, node transition intensity, memory vs logic capex.","TSMC/Samsung/Intel/Micron/SK capex, SEMI/WFE forecasts, equipment lead times, export-control updates, service growth.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,BESI.AS,BE Semiconductor Industries,Euronext Amsterdam,Netherlands,Europe,osat_packaging,OSAT / Advanced Packaging,Key European advanced packaging equipment name.,"Hybrid bonding adoption, AI packaging capex","Advanced packaging capacity, utilization, capex, AI customer mix, substrate availability, test hours, package ASP.","CoWoS/HBM capacity expansions, OSAT monthly revenue, substrate lead times, AI accelerator ramps, packaging equipment orders.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,AIXA.DE,Aixtron,Xetra,Germany,Europe,wfe,Semicap Equipment,Compound semiconductor capex proxy.,"SiC/GaN capex, customer concentration","WFE TAM, orders, backlog, China mix, service revenue, installed base, node transition intensity, memory vs logic capex.","TSMC/Samsung/Intel/Micron/SK capex, SEMI/WFE forecasts, equipment lead times, export-control updates, service growth.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,SMHN.DE,SUSS MicroTec,Xetra,Germany,Europe,osat_packaging,OSAT / Advanced Packaging,European packaging equipment peer.,Hybrid bonding/advanced packaging order cycle,"Advanced packaging capacity, utilization, capex, AI customer mix, substrate availability, test hours, package ASP.","CoWoS/HBM capacity expansions, OSAT monthly revenue, substrate lead times, AI accelerator ramps, packaging equipment orders.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,ACMR,ACM Research,NASDAQ,United States/China,North America/Asia,wfe,Semicap Equipment,US-listed China WFE proxy.,"China domestic WFE, export controls, margin","WFE TAM, orders, backlog, China mix, service revenue, installed base, node transition intensity, memory vs logic capex.","TSMC/Samsung/Intel/Micron/SK capex, SEMI/WFE forecasts, equipment lead times, export-control updates, service growth.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,688012.SS,AMEC,SSE STAR,China,Asia,wfe,Semicap Equipment,Core China equipment champion.,"Etch share gains, customer validation, export controls","WFE TAM, orders, backlog, China mix, service revenue, installed base, node transition intensity, memory vs logic capex.","TSMC/Samsung/Intel/Micron/SK capex, SEMI/WFE forecasts, equipment lead times, export-control updates, service growth.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,002371.SZ,NAURA Technology,SZSE,China,Asia,wfe,Semicap Equipment,Core China WFE broad-line proxy.,"Localization, backlog, product breadth, margin","WFE TAM, orders, backlog, China mix, service revenue, installed base, node transition intensity, memory vs logic capex.","TSMC/Samsung/Intel/Micron/SK capex, SEMI/WFE forecasts, equipment lead times, export-control updates, service growth.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,688072.SS,Piotech,SSE STAR,China,Asia,wfe,Semicap Equipment,China deposition equipment leader.,"Advanced process validation, customer concentration","WFE TAM, orders, backlog, China mix, service revenue, installed base, node transition intensity, memory vs logic capex.","TSMC/Samsung/Intel/Micron/SK capex, SEMI/WFE forecasts, equipment lead times, export-control updates, service growth.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,ONTO,Onto Innovation,NYSE,United States,North America,process_control_test,Process Control / Test / Metrology,Mid-cap process control proxy.,"Advanced packaging metrology, memory/foundry capex","Test time, probe card ASP, advanced-node process-control intensity, HBM/AI complexity, new tester platforms, consumables refresh.","AI/HBM product ramps, KLA/Advantest/Teradyne orders, OSAT capex, yield bottlenecks, new package qualification.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,FORM,FormFactor,NASDAQ,United States,North America,process_control_test,Process Control / Test / Metrology,Consumables-like test complexity proxy.,"HBM/AI probe complexity, utilization","Test time, probe card ASP, advanced-node process-control intensity, HBM/AI complexity, new tester platforms, consumables refresh.","AI/HBM product ramps, KLA/Advantest/Teradyne orders, OSAT capex, yield bottlenecks, new package qualification.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,NVMI,Nova,NASDAQ / TASE,Israel,EMEA,process_control_test,Process Control / Test / Metrology,Niche process control leader.,"Advanced-node metrology intensity, China exposure","Test time, probe card ASP, advanced-node process-control intensity, HBM/AI complexity, new tester platforms, consumables refresh.","AI/HBM product ramps, KLA/Advantest/Teradyne orders, OSAT capex, yield bottlenecks, new package qualification.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,CAMT,Camtek,NASDAQ / TASE,Israel,EMEA,process_control_test,Process Control / Test / Metrology,Advanced packaging inspection proxy.,"Advanced packaging demand, customer concentration","Test time, probe card ASP, advanced-node process-control intensity, HBM/AI complexity, new tester platforms, consumables refresh.","AI/HBM product ramps, KLA/Advantest/Teradyne orders, OSAT capex, yield bottlenecks, new package qualification.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,MKSI,MKS Instruments,NASDAQ,United States,North America,adjacent_infra,Adjacent Infra / Industrial Enablers,Broad WFE subsystem and materials proxy.,"WFE recovery, leverage, China exposure","Backlog, project timing, power density, liquid-cooling attach, fab construction, WFE installed base, connector/cable content per rack.","Data-center power awards, utility/grid constraints, liquid cooling adoption, fab build permits, WFE subsystem orders, ODM rack shipments.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,4063.T,Shin-Etsu Chemical,TSE,Japan,Asia,materials_wafers,Materials / Wafers / Chemicals / Gases,Core wafer/materials leader.,"Wafer pricing, utilization, advanced material demand","Fab utilization, wafer starts, qualification wins, advanced-node material intensity, LTAs, gas onsite contracts, raw-material costs.","Wafer shipments, fab utilization, WFE installation, foundry/memory capex, specialty gas pricing, EUV/advanced packaging material demand.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,3436.T,SUMCO,TSE,Japan,Asia,materials_wafers,Materials / Wafers / Chemicals / Gases,Best pure-play wafer cycle proxy.,"Wafer shipments, pricing, memory/foundry utilization","Fab utilization, wafer starts, qualification wins, advanced-node material intensity, LTAs, gas onsite contracts, raw-material costs.","Wafer shipments, fab utilization, WFE installation, foundry/memory capex, specialty gas pricing, EUV/advanced packaging material demand.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,6488.TWO,GlobalWafers,TPEx,Taiwan,Asia,materials_wafers,Materials / Wafers / Chemicals / Gases,Taiwan wafer leader.,"Long-term agreements, utilization, expansion discipline","Fab utilization, wafer starts, qualification wins, advanced-node material intensity, LTAs, gas onsite contracts, raw-material costs.","Wafer shipments, fab utilization, WFE installation, foundry/memory capex, specialty gas pricing, EUV/advanced packaging material demand.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,WAF.DE,Siltronic,Xetra,Germany,Europe,materials_wafers,Materials / Wafers / Chemicals / Gases,European wafer proxy.,"Wafer pricing, utilization, Singapore expansion","Fab utilization, wafer starts, qualification wins, advanced-node material intensity, LTAs, gas onsite contracts, raw-material costs.","Wafer shipments, fab utilization, WFE installation, foundry/memory capex, specialty gas pricing, EUV/advanced packaging material demand.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,SOI.PA,Soitec,Euronext Paris,France,Europe,materials_wafers,Materials / Wafers / Chemicals / Gases,Specialty substrate leader.,"RF smartphone cycle, auto adoption, customer concentration","Fab utilization, wafer starts, qualification wins, advanced-node material intensity, LTAs, gas onsite contracts, raw-material costs.","Wafer shipments, fab utilization, WFE installation, foundry/memory capex, specialty gas pricing, EUV/advanced packaging material demand.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,ENTG,Entegris,NASDAQ,United States,North America,materials_wafers,Materials / Wafers / Chemicals / Gases,Core US semiconductor materials supplier.,"Fab utilization, advanced-node intensity, leverage","Fab utilization, wafer starts, qualification wins, advanced-node material intensity, LTAs, gas onsite contracts, raw-material costs.","Wafer shipments, fab utilization, WFE installation, foundry/memory capex, specialty gas pricing, EUV/advanced packaging material demand.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,4186.T,Tokyo Ohka Kogyo,TSE,Japan,Asia,materials_wafers,Materials / Wafers / Chemicals / Gases,Photoresist value-chain proxy.,"EUV material demand, Japan export controls, customer wins","Fab utilization, wafer starts, qualification wins, advanced-node material intensity, LTAs, gas onsite contracts, raw-material costs.","Wafer shipments, fab utilization, WFE installation, foundry/memory capex, specialty gas pricing, EUV/advanced packaging material demand.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,4004.T,Resonac Holdings,TSE,Japan,Asia,materials_wafers,Materials / Wafers / Chemicals / Gases,Broad Japan electronic materials company.,"Advanced packaging materials, margin recovery","Fab utilization, wafer starts, qualification wins, advanced-node material intensity, LTAs, gas onsite contracts, raw-material costs.","Wafer shipments, fab utilization, WFE installation, foundry/memory capex, specialty gas pricing, EUV/advanced packaging material demand.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,688019.SS,Anji Microelectronics,SSE STAR,China,Asia,materials_wafers,Materials / Wafers / Chemicals / Gases,Core China materials localization name.,"CMP localization, customer expansion, pricing","Fab utilization, wafer starts, qualification wins, advanced-node material intensity, LTAs, gas onsite contracts, raw-material costs.","Wafer shipments, fab utilization, WFE installation, foundry/memory capex, specialty gas pricing, EUV/advanced packaging material demand.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,3711.TW / ASX,ASE Technology,TWSE / NYSE,Taiwan,Asia,osat_packaging,OSAT / Advanced Packaging,Core outsourced packaging and test leader.,"Advanced packaging share, utilization, AI customer mix","Advanced packaging capacity, utilization, capex, AI customer mix, substrate availability, test hours, package ASP.","CoWoS/HBM capacity expansions, OSAT monthly revenue, substrate lead times, AI accelerator ramps, packaging equipment orders.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,AMKR,Amkor Technology,NASDAQ,United States,North America,osat_packaging,OSAT / Advanced Packaging,US-listed OSAT leader.,"Advanced packaging, auto/consumer cycle, Arizona expansion","Advanced packaging capacity, utilization, capex, AI customer mix, substrate availability, test hours, package ASP.","CoWoS/HBM capacity expansions, OSAT monthly revenue, substrate lead times, AI accelerator ramps, packaging equipment orders.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,600584.SS,JCET Group,SSE,China,Asia,osat_packaging,OSAT / Advanced Packaging,Core China OSAT champion.,"Utilization, advanced packaging, customer mix","Advanced packaging capacity, utilization, capex, AI customer mix, substrate availability, test hours, package ASP.","CoWoS/HBM capacity expansions, OSAT monthly revenue, substrate lead times, AI accelerator ramps, packaging equipment orders.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,002156.SZ,Tongfu Microelectronics,SZSE,China,Asia,osat_packaging,OSAT / Advanced Packaging,China OSAT with compute exposure.,"AMD/customer exposure, AI packaging, utilization","Advanced packaging capacity, utilization, capex, AI customer mix, substrate availability, test hours, package ASP.","CoWoS/HBM capacity expansions, OSAT monthly revenue, substrate lead times, AI accelerator ramps, packaging equipment orders.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,6239.TW,Powertech Technology,TWSE,Taiwan,Asia,osat_packaging,OSAT / Advanced Packaging,Memory OSAT proxy.,"Memory cycle, HBM/advanced package role","Advanced packaging capacity, utilization, capex, AI customer mix, substrate availability, test hours, package ASP.","CoWoS/HBM capacity expansions, OSAT monthly revenue, substrate lead times, AI accelerator ramps, packaging equipment orders.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,2449.TW,King Yuan Electronics,TWSE,Taiwan,Asia,process_control_test,Process Control / Test / Metrology,Taiwan test service proxy.,"AI/RF/logic test demand, utilization","Test time, probe card ASP, advanced-node process-control intensity, HBM/AI complexity, new tester platforms, consumables refresh.","AI/HBM product ramps, KLA/Advantest/Teradyne orders, OSAT capex, yield bottlenecks, new package qualification.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,3037.TW,Unimicron Technology,TWSE,Taiwan,Asia,substrate_pcb,Substrate / PCB / Interconnect,Core substrate/PCB leader.,"AI substrate demand, ABF utilization, Apple/server mix","Layer count, ABF capacity, low-loss material mix, AI server/rack demand, yield, customer qualification, capex discipline.","AI server ODM orders, GPU/ASIC substrate allocation, CCL pricing, Taiwan PCB monthly revenue, cloud switch port-speed transition.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
